source,title,link,published,summary,fetched_at
BBC News,BBC News app,https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,"Wed, 30 Apr 2025 14:04:28 GMT","Top stories, breaking news, live reporting, and follow news topics that match your interests",2025-11-29T13:55:17.122231
BBC News,"The Week: Send Funding, Workers Rights And A Big Drop In Legal Migration",https://www.bbc.co.uk/sounds/play/p0mkbcd7?at_medium=RSS&at_campaign=rss,"Fri, 28 Nov 2025 11:00:00 GMT",How to pay for Send funding 'blackhole'?,2025-11-29T13:55:17.122231
BBC News,Shein: How the fast fashion disruptor ran into real world problems,https://www.bbc.co.uk/sounds/play/w3ct719n?at_medium=RSS&at_campaign=rss,"Thu, 27 Nov 2025 10:00:00 GMT","The inside story of Shein’s success, and the challenges it faces in its bid to go public",2025-11-29T13:55:17.122231
BBC News,The Brontë sisters' extraordinary battle for recognition,https://www.bbc.co.uk/iplayer/episode/p04cf4wv?at_mid=OJL4o3E3HO&at_campaign=To_Walk_Invisible&at_medium=display_ad&at_campaign_type=owned&at_nation=NET&at_audience_id=SS&at_product=iplayer&at_brand=p04cf4wv&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=To_Walk_Invisible&at_bbc_team=BBC,"Wed, 19 Nov 2025 06:00:00 GMT","The story of the Bronte sisters, who overcame a life of hardship to become great writers.",2025-11-29T13:55:17.122231
BBC News,"Stokes rejects arrogant claim, regrets 'has-beens'",https://www.bbc.com/sport/cricket/articles/c7vmdjr6pgro?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 06:31:52 GMT",Captain Ben Stokes said allegations of arrogance against his England team are “too far” and admits he was “completely wrong” to refer to critics as “has-beens”.,2025-11-29T13:55:17.122231
BBC News,Wales v South Africa negativity frustrates Kolisi,https://www.bbc.com/sport/rugby-union/articles/cr4d661wp2yo?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 07:10:19 GMT",South Africa's double World Cup winning captain Siya Kolisi has no doubts about the validity of the Springboks' game against Wales.,2025-11-29T13:55:17.122231
NYT > World News,The Ukrainians Stuck in Russia’s New Gulag,https://www.nytimes.com/2025/11/29/world/europe/the-ukrainians-stuck-in-russias-new-gulag.html,"Sat, 29 Nov 2025 10:00:10 +0000","Even if a peace can be reached, it won’t be easy to solve the problem of Ukrainian civilians languishing in Russian jails. This is one prisoner’s story.",2025-11-29T13:55:17.122231
NYT > World News,Israeli Hostage Recounts Beatings and Starvation During Hamas Captivity,https://www.nytimes.com/2025/11/29/world/middleeast/israel-hostage-hamas-gaza-torture-segev-kalfon.html,"Sat, 29 Nov 2025 10:00:42 +0000","Segev Kalfon said he endured physical abuse and mind games during 738 days in the hands of Hamas. Now, he asks why it took so long for Israel to bring him home.",2025-11-29T13:55:17.122231
NYT > World News,"In Firing His No. 2, Zelensky Loses Both a Negotiator and an Enforcer",https://www.nytimes.com/2025/11/29/world/europe/zelensky-yermak-ukraine.html,"Sat, 29 Nov 2025 12:25:49 +0000","Andriy Yermak had ensured internal discipline in Ukraine’s wartime politics. He also led the country’s peace negotiations, which now must go on without him.",2025-11-29T13:55:17.122231
NYT > World News,Latin American Leaders Face Both Trump and Voters Deported by the U.S.,https://www.nytimes.com/2025/11/29/world/americas/honduras-deportees-elections.html,"Sat, 29 Nov 2025 10:01:32 +0000",The upcoming election in Honduras shows how politicians must balance cooperation with the Trump administration with their obligation to undocumented citizens in the United States who may be deported.,2025-11-29T13:55:17.122231
